bundle,target,seed,kappa,step,scaled_hessian_max,scaled_hessian_min,largest_mode_update_eigenvalue,readout_l2,top_mode_slope_fraction,top_mode_hidden_bias_fraction,top_mode_readout_fraction,top_mode_output_bias_fraction
core_N128_s1,sine,1,100.0,100000,0.6452610380804867,-2.3070654551531084e-05,0.35473896191951326,6.58610547645748,5.773857297263512e-05,0.09577105461772167,0.5948734252807525,0.30929778152855314
core_N128_s1,runge,1,1.0,100000,0.010578232602074439,-4.291138933873024e-05,0.9894217673979255,1.5129867234469054,0.00042496548859415826,0.4073581748559224,0.4032680923548705,0.18894876730061283
core_N128_s1,runge,1,100.0,100000,0.6637134391902446,-1.3113707849747568e-05,0.3362865608097554,5.793939341228199,0.0003879523084347452,0.07819914809604571,0.6207855480065592,0.30062735158896137
core_N128_s1,moment3,1,1.0,100000,0.010331735282345232,-2.32284282309917e-05,0.9896682647176548,1.5121957396227663,0.00017966901219545448,0.4290480963012605,0.37745487298043134,0.19331736170611338
core_N128_s1,moment3,1,100.0,100000,1.0847270529751802,-6.15976092855473e-06,-0.08472705297518024,19.913421021032654,0.00012311232194211837,0.47136953790592906,0.3456081591358684,0.18289919063626062
core_N128_s1,moment5,1,1.0,100000,0.01001377111294623,-3.599166640413934e-07,0.9899862288870538,1.4607034554097715,0.00014328681525035093,0.41227437987193133,0.38806985780974046,0.19951247550307757
core_N128_s1,moment5,1,100.0,100000,0.5908365247265104,-5.054723842209632e-07,0.4091634752734896,1.507272778561553,4.714868169111145e-06,0.007447587362848611,0.6546865423203281,0.337861155448654
core_N128_s1,moment9,1,1.0,100000,0.010014770235418791,-2.8328246815122096e-08,0.9899852297645813,1.4607883773776256,0.0001431909062570155,0.4122984899465699,0.3880656653700687,0.19949265377710398
core_N128_s1,moment9,1,100.0,100000,0.590858375885267,-7.171728237969189e-08,0.409141624114733,1.5071119025068258,4.710275242091394e-06,0.007446813104604653,0.6547001488498335,0.33784832777031976
core_N128_s1,sine,1,1.0,600000,0.011790489994321024,-8.746293757515678e-06,0.988209510005679,2.360890696542106,0.00012931756787495227,0.5197487879909817,0.3106740992704331,0.16944779517071185
core_N128_s1,sine,1,100.0,600000,1.5313142679026828,-4.464000755726724e-06,-0.5313142679026828,31.465519039008786,0.010192200591526281,0.6047909061331719,0.2580640938105922,0.12695279946471086
core_N128_s1,runge,1,1.0,600000,0.01085375178454975,-6.746913627382343e-07,0.9891462482154503,2.5334538270470137,0.0006045048223885744,0.4616272159255396,0.35522073359636963,0.18254754565570233
core_N128_s1,runge,1,100.0,600000,0.6220445086186572,-1.7380539503490622e-06,0.37795549138134277,8.184996377193288,0.0002964659865238947,0.03768784477966478,0.6570310254082865,0.30498466382552497
